876	1220
875	1217
317	1216
318	1215
319	1214
675	1213
1062	1212
676	1211
677	1210
1064	1219
678	1218
482	1231
483	1230
29	0
901	1228
458	1
383	1227
162	2
693	1226
217	3
896	1225
641	4
629	1224
642	5
1093	1223
165	6
898	1222
462	7
690	1221
53	8
464	800
4	9
1017	801
1146	802
728	803
823	804
579	805
580	806
900	1229
1148	807
931	808
1147	809
201	1000
704	1242
1097	1241
271	1240
268	1239
269	1238
160	1237
270	1236
1098	1235
694	1234
695	1233
481	1232
730	810
729	811
1149	812
814	813
108	814
282	815
418	816
283	817
148	818
581	819
322	1011
708	1253
323	1010
709	1252
710	1251
1114	1250
1070	1008
880	1007
175	1249
881	1006
1106	1248
882	1005
517	1247
1066	1004
1101	1246
680	1003
904	1245
66	820
1067	1002
703	1244
1068	1001
631	1243
934	821
935	822
564	823
1019	824
297	825
937	826
1154	827
1159	828
1069	1009
1158	829
1076	1022
1118	1264
1072	1021
913	1263
682	1020
327	1262
328	1261
329	1260
681	1019
883	1018
1007	1017
325	1259
1073	1016
326	1258
190	1015
914	1257
1071	1014
342	1256
735	830
320	1013
711	1255
1157	831
321	1012
249	1254
1164	832
1165	833
46	834
171	835
582	836
627	837
939	838
1173	839
1077	1033
420	1275
259	1032
421	1274
885	1031
1167	1273
1078	1030
736	1272
422	1271
1162	1270
798	1029
449	1028
1074	1027
1163	1269
1075	1026
492	1268
1172	840
683	1025
734	1267
390	841
25	600
684	1024
232	1266
737	842
685	1023
1018	601
1155	1265
1168	843
391	602
188	844
173	603
493	845
797	846
1151	604
936	605
940	847
815	606
941	848
1152	607
817	849
1153	608
816	609
416	1044
1180	1286
417	1043
944	1285
1142	1042
1183	1284
361	1041
1174	1283
362	1040
331	1282
332	1281
333	1280
360	1039
209	850
926	1038
1140	1037
1175	1279
1218	851
289	610
1141	1036
1177	1278
961	852
723	1035
389	611
942	1277
960	853
397	854
1082	1034
638	612
419	1276
513	613
752	855
491	614
635	856
587	615
962	857
1156	616
1220	858
938	617
1219	859
216	618
1160	619
179	1055
576	1054
1144	1053
1143	1052
741	1294
574	1051
742	1293
575	1050
364	1292
945	1291
584	1290
392	860
573	1049
430	861
324	1048
1161	620
431	862
928	1047
1166	621
583	1289
432	863
461	622
726	1046
1187	1288
433	864
185	1045
1169	623
586	1287
434	865
1170	624
303	866
739	867
1171	625
1176	626
753	868
1178	627
600	869
74	628
1179	629
157	1066
158	1065
1016	1064
727	1063
813	1062
1145	1061
930	1060
599	870
455	871
388	872
943	630
112	631
387	1059
964	873
204	874
577	1058
1181	632
578	1057
1185	633
754	875
929	1056
740	634
755	876
295	877
1186	635
284	636
821	878
585	879
365	637
366	638
367	639
1210	1077
286	1076
228	1075
1209	1074
954	1073
592	1072
955	1071
569	1070
1225	880
399	881
41	882
965	640
1226	641
966	883
1012	642
272	884
568	400
45	643
136	1069
948	401
602	885
363	886
1194	402
159	1068
636	644
117	645
1195	403
142	1067
1229	887
949	404
967	646
724	888
75	647
1196	405
968	889
470	406
601	648
1197	407
756	649
238	408
588	409
1211	1080
1214	1088
116	1087
237	1086
1213	1085
593	1084
594	1083
1212	1082
957	1081
1228	890
1227	891
264	650
1231	892
970	651
606	893
1198	410
603	652
759	894
745	411
604	653
1230	895
72	412
605	654
971	896
167	897
1199	413
749	1079
757	655
1200	414
956	1078
758	656
371	898
1201	415
372	899
1232	657
1202	416
435	658
1203	417
349	659
746	418
950	419
1216	1091
958	1090
751	1099
1217	1098
959	1097
820	1096
76	1095
181	1094
176	1093
596	1092
386	660
1233	661
1204	420
1234	662
1205	421
1235	663
350	664
1206	422
344	423
457	665
747	424
1239	666
748	425
1215	1089
1240	667
1207	426
1241	668
56	669
370	427
427	428
428	429
235	670
503	671
951	430
504	672
524	673
952	431
1208	432
294	674
953	433
1244	675
765	676
1246	434
306	435
973	677
611	678
612	436
496	437
974	679
1249	438
772	439
975	680
976	681
977	682
770	440
465	441
978	683
963	200
979	684
1250	442
178	443
147	201
980	685
291	444
191	202
523	686
767	687
776	445
616	203
81	204
768	688
777	446
500	205
1245	689
778	447
111	206
779	448
96	207
1251	449
794	208
43	209
981	690
1247	691
120	692
1252	450
822	451
1248	693
436	694
1253	452
1275	210
125	211
591	453
281	695
884	212
437	696
982	454
393	213
773	697
613	455
774	698
983	456
1276	214
345	215
210	457
775	699
246	216
1254	458
1255	459
619	217
620	218
621	219
1256	460
330	461
984	462
796	220
1040	221
1257	463
854	222
1258	464
134	465
1041	223
1042	224
1259	466
80	225
1010	467
227	226
516	468
536	227
985	469
537	228
856	229
781	470
646	471
664	230
1260	472
163	231
522	473
38	232
30	474
858	233
1263	475
1033	476
299	234
650	477
665	235
182	236
208	478
429	479
78	237
293	238
19	239
652	480
653	481
305	482
225	240
838	483
1046	241
129	242
656	484
466	485
859	243
400	244
241	486
50	245
307	487
308	488
538	246
224	489
1047	247
769	248
113	249
309	490
846	491
94	250
351	492
352	493
1048	251
353	494
666	252
166	495
1050	253
368	496
860	254
255	497
771	255
658	498
395	256
253	499
1051	257
1052	258
861	259
862	260
13	261
1053	262
1054	263
300	264
186	265
780	266
863	267
864	268
15	269
27	270
396	271
667	272
