2635	2306
765	2305
2629	2304
509	2303
545	2302
2626	2301
70	2300
880	2309
2632	2308
2636	2307
2640	2320
62	0
1615	2317
191	1
1616	2316
874	2
1230	2315
1581	3
1200	2314
653	4
2637	2313
11	5
1618	2312
102	6
997	2311
532	7
1072	2310
16	8
264	9
2021	2319
1617	2318
1504	2331
1147	1000
766	2330
853	2328
431	2327
2024	2326
2642	2325
246	2324
2641	2323
1620	2322
2023	2321
2025	2329
172	2342
457	1011
1641	2341
270	1010
1642	2340
2695	2339
2427	1008
1621	2338
1914	1007
580	1006
1622	2337
542	1005
1028	2336
2644	2335
2422	1004
2643	2334
1547	1003
2645	2333
311	1002
1232	2332
1146	1001
471	1009
859	2353
1221	1022
2064	2352
1833	1021
714	1020
2708	2351
1324	2350
1989	1019
550	2349
1296	1018
547	1017
486	2348
2699	2347
2423	1016
593	1015
2704	2346
2703	2345
2428	1014
858	2344
1969	1013
688	2343
1988	1012
1080	2364
2518	1033
1081	2363
203	1032
860	2362
1566	1031
2712	2361
2515	1030
2713	2360
902	1029
2065	2359
973	1028
2066	2358
2513	1027
733	2357
1878	1026
2706	2356
845	1025
1519	2355
618	1024
1915	1023
2711	2354
1326	2375
1179	1044
2071	2374
1551	1043
135	1042
2072	2373
1931	2372
2519	1041
2722	2371
2520	1040
1468	2370
1985	1039
1645	2369
1884	1038
2715	2368
2516	1037
2714	2367
2517	1036
2069	2366
1883	1035
2718	2365
1945	1034
1649	2386
2530	1055
192	1054
459	2385
2728	2384
760	1053
2075	2383
1447	1052
2725	2382
2528	1051
590	1050
2726	2381
88	2380
2526	1049
2074	2379
2527	1048
1248	2378
2524	1047
470	2377
2525	1046
1325	2376
2522	1045
271	2397
1913	1066
890	2396
2535	1065
2818	2395
2536	1064
2730	2394
1451	1063
2731	2393
1452	1062
2729	2392
1548	1061
1328	2391
1964	1060
2733	2390
302	1059
85	1058
2732	2389
592	1057
63	2388
1648	2387
2529	1056
26	1077
1912	1076
2537	1075
1534	1074
2539	1073
95	1072
2533	1071
247	1070
1253	1069
885	1068
2817	2399
1022	1067
1474	2398
158	1080
120	1088
1911	1087
2646	1086
381	1085
525	1084
633	1083
308	1082
2032	1081
2027	1079
2028	1078
998	1091
1505	1090
2649	1099
582	1098
1234	1097
252	1096
1311	1095
600	1094
147	1093
2647	1092
2648	1089
1174	200
323	201
421	202
1175	203
1176	204
18	205
1177	206
1885	207
2521	208
403	209
1178	210
238	211
266	212
1886	213
2523	214
115	215
974	216
306	217
975	218
206	219
718	220
260	221
360	222
32	223
562	224
320	225
2630	226
1069	227
154	228
229	229
2631	230
644	231
23	232
2634	233
1909	234
386	235
1619	236
832	237
516	238
1910	239
55	1909
1477	1908
1073	240
282	241
572	242
715	243
2026	244
118	245
2029	246
2030	247
2031	248
110	249
1794	1907
357	1906
2351	1905
2349	1904
1788	1903
1789	1902
687	1901
838	1900
2359	1919
881	250
546	251
426	252
1310	253
2357	1910
599	254
201	255
1233	256
329	257
830	258
824	259
1532	1918
1797	1917
1798	1916
1799	1915
1526	1914
1137	1913
1138	1912
2350	1911
2033	260
703	261
704	262
242	263
1201	264
1802	1921
272	265
1983	1920
1312	266
325	267
560	268
1313	269
368	1929
2378	1928
1209	1927
2367	1926
612	1925
2369	1924
1801	1923
2370	1922
231	270
137	271
1521	272
2068	273
2719	274
388	1932
2721	275
98	276
835	1931
1469	277
1806	1930
109	278
170	279
1413	1939
2382	1938
1057	1937
1058	1936
2374	1935
44	1934
2376	1933
255	280
587	281
563	282
2076	283
825	284
2727	285
1908	1943
392	286
604	287
2386	1942
335	288
1251	1941
770	289
2387	1940
911	1949
402	1948
1223	1947
1812	1946
2394	1945
2395	1944
251	290
1650	291
2077	292
432	293
857	294
982	295
1651	296
1652	297
914	1954
2735	298
657	1953
738	299
2432	1952
1491	1951
1816	1950
2435	1959
2436	1958
2434	1957
291	1956
1152	1955
2441	1965
2442	1964
964	1963
611	1962
965	1961
1153	1960
616	1969
873	1968
2447	1967
1422	1966
2455	1976
1425	1975
884	1974
1426	1973
1236	1972
2448	1971
1843	1970
2461	1979
101	1978
1968	1977
534	1990
2466	1987
1576	1986
2459	1985
1962	1984
1846	1983
1062	1982
1159	1981
1160	1980
1434	1989
1847	1988
1856	1998
2471	1997
1850	1996
1851	1995
2472	1994
349	1993
399	1992
1470	1991
2473	1999
2823	2405
2824	2404
1669	2403
1670	2402
2822	2401
2821	2400
2825	2409
1536	2408
1346	2407
1347	2406
2121	2416
2828	2415
2125	2414
1198	2413
2124	2412
2119	2411
1005	2410
146	2419
2126	2418
1537	2417
1673	2430
226	2427
926	2426
474	2425
891	2424
1352	2423
2832	2422
57	2421
2831	2420
927	2429
928	2428
854	1110
1675	2441
1261	2440
2034	1107
2836	2438
2652	1106
2837	2437
